Date,Open,High,Low,Close,Adj Close,Volume
2000-03-08,5780.250000,6018.999023,5780.250000,5981.301758,4868.580566,145235
2000-03-09,6018.999023,6094.394043,5943.604492,5968.736328,4858.352539,318861
2000-03-10,5981.301758,6044.130859,5931.039063,6000.150391,4883.922363,239070
2000-03-13,6000.150391,6000.150391,5843.078613,5874.493164,4781.642578,391501
2000-03-14,5905.907227,6251.465820,5905.907227,6220.051270,5062.914063,1659899
2000-03-15,6125.808105,6220.051270,6088.110840,6088.110840,4955.519531,535451
2000-03-16,6094.394043,6345.708984,6025.282227,6025.282227,4904.379395,2568368
2000-03-17,6383.406250,6471.366699,6282.880371,6471.366699,5267.477051,378067
2000-03-20,6483.932617,6483.932617,6220.051270,6220.051270,5062.914063,573138
2000-03-21,6220.051270,6220.051270,6220.051270,6220.051270,5062.914063,0
2000-03-22,6213.768555,6213.768555,5937.321777,5937.321777,4832.781738,459020
2000-03-23,5937.321777,6125.808105,5767.684082,6000.150391,4883.922363,785466
2000-03-24,6000.150391,6000.150391,5905.907227,5962.453125,4853.238281,269928
2000-03-27,5962.453125,6471.366699,5949.887695,6421.103516,5226.564453,726800
2000-03-28,6031.564941,6282.880371,5937.321777,5962.453125,4853.238281,794842
2000-03-29,5937.321777,5937.321777,5843.078613,5905.907227,4807.211914,491890
2000-03-30,5868.209961,5868.209961,5327.882324,5327.882324,4336.718262,652966
2000-03-31,5277.619629,5327.882324,4774.988770,5020.021484,4086.130615,1373483
2000-04-03,5020.021484,5151.961914,4837.817871,4837.817871,3937.823242,358193
2000-04-04,4969.758301,4969.758301,4492.259277,4492.259277,3656.549072,760856
2000-04-05,4523.673828,4586.502441,4146.700684,4146.700684,3375.275879,2716656
2000-04-06,4398.016113,4649.331543,4398.016113,4398.016113,3579.839355,1745438
2000-04-07,4774.988770,4837.817871,4680.745605,4680.745605,3809.970459,607184
2000-04-10,4806.403320,4900.646484,4774.988770,4774.988770,3886.682373,536938
2000-04-11,4712.160156,4731.008789,4586.502441,4586.502441,3733.260498,636779
2000-04-12,4617.916992,4718.442871,4523.673828,4523.673828,3682.119629,521746
2000-04-13,4398.016113,4398.016113,3782.293945,3782.293945,3078.661377,1060604
2000-04-14,3832.556885,3958.214600,3581.241699,3581.241699,2915.011475,325197
2000-04-17,3644.070557,3644.070557,3204.268799,3204.268799,2608.168213,637089
2000-04-18,3455.583984,3769.728027,3298.512207,3298.512207,2684.878906,1102796
2000-04-19,3832.556885,4152.983887,3832.556885,3832.556885,3119.573486,1114585
2000-04-20,3989.628906,4146.700684,3920.517090,3920.517090,3191.170166,382294
2000-04-21,3920.517090,3920.517090,3920.517090,3920.517090,3191.170166,0
