Date,Open,High,Low,Close,Adj Close,Volume
2005-07-26,56.000000,56.000000,56.000000,56.000000,47.906746,0
2005-07-27,56.000000,56.000000,56.000000,56.000000,47.906746,0
2005-07-28,53.000000,59.000000,53.000000,59.000000,50.473175,52800
2005-07-29,59.000000,59.000000,52.000000,52.000000,44.484829,126000
2005-08-01,52.000000,52.000000,52.000000,52.000000,44.484829,0
2005-08-02,52.000000,52.000000,52.000000,52.000000,44.484829,0
2005-08-03,56.000000,56.000000,56.000000,56.000000,47.906746,30000
2005-08-04,56.000000,56.000000,55.000000,55.000000,47.051266,11100
2005-08-05,56.000000,57.000000,55.000000,55.000000,47.051266,56000
2005-08-08,55.000000,55.000000,55.000000,55.000000,47.051266,23000
2005-08-09,55.000000,55.000000,55.000000,55.000000,47.051266,0
2005-08-10,56.000000,56.000000,56.000000,56.000000,47.906746,3600
2005-08-11,56.000000,56.000000,56.000000,56.000000,47.906746,0
2005-08-12,56.000000,56.000000,56.000000,56.000000,47.906746,2000
2005-08-15,56.000000,56.000000,55.000000,55.000000,47.051266,61300
2005-08-16,55.000000,55.000000,55.000000,55.000000,47.051266,50000
2005-08-17,55.000000,55.000000,55.000000,55.000000,47.051266,0
2005-08-18,55.000000,55.000000,55.000000,55.000000,47.051266,0
2005-08-19,55.000000,55.000000,55.000000,55.000000,47.051266,20000
2005-08-22,55.000000,55.000000,55.000000,55.000000,47.051266,3600
2005-08-23,54.000000,54.000000,54.000000,54.000000,46.195789,40000
2005-08-24,54.000000,54.000000,54.000000,54.000000,46.195789,0
2005-08-25,54.000000,54.000000,54.000000,54.000000,46.195789,0
2005-08-26,54.000000,54.000000,54.000000,54.000000,46.195789,1900
2005-08-29,52.000000,52.000000,52.000000,52.000000,44.484829,9000
2005-08-30,52.000000,52.000000,52.000000,52.000000,44.484829,0
2005-08-31,54.000000,54.000000,54.000000,54.000000,46.195789,10600
2005-09-01,54.000000,55.000000,54.000000,55.000000,47.051266,95800
2005-09-02,58.000000,60.000000,58.000000,60.000000,51.328655,322800
2005-09-05,60.000000,64.000000,60.000000,62.000000,53.039604,154900
2005-09-06,65.000000,65.000000,58.000000,58.000000,49.617699,110300
2005-09-07,58.000000,58.000000,58.000000,58.000000,49.617699,4000
2005-09-08,61.000000,61.000000,60.000000,60.000000,51.328655,140000
2005-09-09,60.000000,60.000000,60.000000,60.000000,51.328655,14400
2005-09-12,60.000000,60.000000,60.000000,60.000000,51.328655,46500
2005-09-13,60.000000,60.000000,59.000000,59.000000,50.473175,73700
2005-09-14,59.000000,60.000000,56.000000,56.000000,47.906746,230200
2005-09-15,60.000000,60.000000,60.000000,60.000000,51.328655,1000
2005-09-16,60.000000,60.000000,60.000000,60.000000,51.328655,159100
2005-09-19,63.000000,63.000000,63.000000,63.000000,53.895084,27000
2005-09-20,70.000000,70.000000,70.000000,70.000000,59.883434,1800
2005-09-21,71.000000,71.000000,70.000000,70.000000,59.883434,30000
2005-09-22,70.000000,70.000000,70.000000,70.000000,59.883434,0
2005-09-23,70.000000,70.000000,65.000000,65.000000,55.606041,160000
2005-09-26,75.000000,75.000000,75.000000,75.000000,64.160812,10000
2005-09-27,73.000000,90.000000,73.000000,80.000000,68.438202,629000
2005-09-28,80.000000,81.000000,80.000000,80.000000,68.438202,90700
2005-09-29,80.000000,80.000000,80.000000,80.000000,68.438202,113800
2005-09-30,80.000000,85.000000,80.000000,80.000000,68.438202,170000
2005-10-03,90.000000,90.000000,80.000000,80.000000,68.438202,37100
2005-10-04,80.000000,80.000000,80.000000,80.000000,68.438202,3000
2005-10-05,80.000000,80.000000,80.000000,80.000000,68.438202,10300
2005-10-06,70.000000,75.000000,67.000000,75.000000,64.160812,105200
2005-10-07,75.000000,75.000000,75.000000,75.000000,64.160812,0
2005-10-10,75.000000,75.000000,75.000000,75.000000,64.160812,0
2005-10-11,75.000000,75.000000,75.000000,75.000000,64.160812,0
2005-10-12,74.000000,74.000000,65.000000,65.000000,55.606041,74900
2005-10-13,68.000000,69.000000,68.000000,68.000000,58.172474,111200
2005-10-14,65.000000,65.000000,60.000000,65.000000,55.606041,81500
2005-10-17,65.000000,65.000000,65.000000,65.000000,55.606041,60900
2005-10-18,66.000000,66.000000,66.000000,66.000000,56.461517,9200
2005-10-19,66.000000,66.000000,66.000000,66.000000,56.461517,15800
2005-10-20,65.000000,65.000000,61.000000,61.000000,52.184128,142100
2005-10-21,61.000000,61.000000,61.000000,61.000000,52.184128,40000
2005-10-24,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-10-25,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-10-26,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-10-27,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-10-28,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-10-31,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-11-01,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-11-02,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-11-03,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-11-04,61.000000,61.000000,61.000000,61.000000,52.184128,0
2005-11-07,66.000000,66.000000,66.000000,66.000000,56.461517,6000
2005-11-08,65.000000,65.000000,65.000000,65.000000,55.606041,10000
